date,tsa,tot_confirmed_covid_patients_in_hosp,tot_suspected_covid_patients_in_hosp,tot_confirmed_covid_admits_last_24hrs,tot_suspected_covid_admits_last_24hrs,adult_suspected_covid_admits_in_the_last_24hr,pediatric_suspected_covid_admits_in_the_last_24hr,tot_lab_conf_covid_icu,tot_susp_covid_icu,hosp_onset_covid,ed_overflow,prev_day_covid_fatalities,Reporting Rate,Reported Date,Reported Time,Time Zone,Notes
2020-07-26,V,1547,NA,0,0,NA,NA,NA,NA,102,159,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-26,Total,9781,NA,779,813,NA,NA,NA,NA,173,286,NA,0.82,2020-07-27,12:52:00 PM,PDT,NA
2020-07-27,A,36,NA,5,236,NA,NA,NA,NA,0,0,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,B,127,NA,29,359,NA,NA,NA,NA,0,0,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,C,36,NA,0,417,NA,NA,NA,NA,1,2,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,D,47,NA,3,100,NA,NA,NA,NA,0,1,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,E,1642,NA,277,6496,NA,NA,NA,NA,33,50,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,F,121,NA,10,154,NA,NA,NA,NA,2,0,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,G,270,NA,27,315,NA,NA,NA,NA,0,8,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,H,129,NA,6,22,NA,NA,NA,NA,0,0,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,I,282,NA,18,1108,NA,NA,NA,NA,0,1,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,J,102,NA,10,245,NA,NA,NA,NA,3,0,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,K,48,NA,5,40,NA,NA,NA,NA,4,4,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,L,74,NA,11,142,NA,NA,NA,NA,0,0,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,M,82,NA,11,19,NA,NA,NA,NA,0,0,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,N,62,NA,10,66,NA,NA,NA,NA,0,0,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,O,429,NA,25,1294,NA,NA,NA,NA,2,4,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,P,1187,NA,91,30,NA,NA,NA,NA,17,28,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,Q,2391,NA,178,267,NA,NA,NA,NA,6,28,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,R,328,NA,8,59,NA,NA,NA,NA,0,1,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,S,184,NA,26,4,NA,NA,NA,NA,7,0,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,T,179,NA,17,173,NA,NA,NA,NA,0,0,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,U,445,NA,27,694,NA,NA,NA,NA,2,14,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,V,1392,NA,0,2451,NA,NA,NA,NA,26,166,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-27,Total,9593,NA,794,14691,NA,NA,NA,NA,103,307,NA,0.91,2020-07-28,5:54:00 AM,PDT,NA
2020-07-28,A,37,NA,8,0,NA,NA,NA,NA,0,0,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,B,105,NA,32,42,NA,NA,NA,NA,0,0,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,C,36,NA,2,7,NA,NA,NA,NA,1,1,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,D,54,NA,4,25,NA,NA,NA,NA,0,1,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,E,1723,NA,303,281,NA,NA,NA,NA,12,38,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,F,126,NA,11,12,NA,NA,NA,NA,2,0,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,G,272,NA,32,27,NA,NA,NA,NA,0,5,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,H,88,NA,12,13,NA,NA,NA,NA,0,0,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,I,266,NA,18,28,NA,NA,NA,NA,0,1,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,J,98,NA,14,4,NA,NA,NA,NA,3,0,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,K,45,NA,8,0,NA,NA,NA,NA,1,0,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,L,78,NA,12,1,NA,NA,NA,NA,0,0,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,M,88,NA,10,29,NA,NA,NA,NA,0,0,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
2020-07-28,N,69,NA,10,4,NA,NA,NA,NA,0,0,NA,0.95,2020-07-29,9:05:00 AM,PDT,NA
