date,sheet,tsa,location,pedi_vent_avail,pedi_vents_in_use,adult_vents_avail,adult_vents_in_use,total_vents_avail,total_vents_in_use,pedi_bi_pap_avail,pedi_bi_pap_in_use,adult_bi_pap_avail,adult_bi_pap_in_use,total_bi_pap_avail,total_bi_pap_in_use,total_anesthesia_vents_in_use,total_covid_on_vents,anesthsia_vents_avail
2020-05-21,Vent Availability,TSA-Q,Houston,325,118,945,568,1270,686,92,16,683,319,775,335,174,128,198
2020-05-21,Vent Availability,TSA-R,Galveston,31,1,182,123,213,124,16,2,137,58,153,60,20,30,129
2020-05-21,Vent Availability,TSA-S,Victoria,3,1,45,8,48,9,0,0,19,8,19,8,0,1,26
2020-05-21,Vent Availability,TSA-T,Laredo,21,0,54,24,75,24,8,0,29,15,37,15,0,6,6
2020-05-21,Vent Availability,TSA-U,Corpus Christi,52,20,110,33,162,53,5,0,98,49,103,49,0,0,16
2020-05-21,Vent Availability,TSA-V,Lower Rio Grande Valley,69,1,229,73,298,74,11,0,150,64,161,64,1,7,44
2020-05-21,Vent Availability,Total,Texas,1249,348,5009,2072,6258,2420,285,53,3062,1337,3347,1390,425,377,1429
2020-05-20,Vent Availability,TSA-A,Amarillo,28,4,90,24,118,28,0,0,48,20,48,20,0,0,25
2020-05-20,Vent Availability,TSA-B,Lubbock,7,1,157,39,164,40,1,0,65,20,66,20,0,4,26
2020-05-20,Vent Availability,TSA-C,Witchita Falls,2,0,49,8,51,8,0,0,10,4,10,4,0,0,26
2020-05-20,Vent Availability,TSA-D,Abilene,9,0,53,8,62,8,0,0,21,1,21,1,0,0,29
2020-05-20,Vent Availability,TSA-E,Dallas/Ft. Worth,276,112,1044,607,1320,719,63,26,719,337,782,363,132,140,332
2020-05-20,Vent Availability,TSA-F,Paris,12,0,84,21,96,21,13,0,53,19,66,19,0,3,38
2020-05-20,Vent Availability,TSA-G,Longview/Tyler,67,5,153,76,220,81,25,0,135,62,160,62,0,12,25
2020-05-20,Vent Availability,TSA-H,Lufkin,27,0,73,20,100,20,0,0,42,15,42,15,0,1,23
2020-05-20,Vent Availability,TSA-I,El Paso,70,7,196,71,266,78,5,0,100,36,105,36,1,21,46
2020-05-20,Vent Availability,TSA-J,Midland/Odessa,38,2,174,16,212,18,17,0,81,14,98,14,0,0,33
2020-05-20,Vent Availability,TSA-K,San Angelo,4,0,39,0,43,0,0,0,0,0,0,0,0,0,9
2020-05-20,Vent Availability,TSA-L,Belton/Killeen,33,0,119,41,152,41,5,0,87,7,92,7,0,4,34
2020-05-20,Vent Availability,TSA-M,Waco,0,0,65,11,65,11,0,0,58,5,58,5,0,1,10
2020-05-20,Vent Availability,TSA-N,Bryan/College Station,7,0,46,13,53,13,2,0,28,3,30,3,0,2,28
2020-05-20,Vent Availability,TSA-O,Austin,96,29,302,115,398,144,14,0,186,45,200,45,13,18,151
2020-05-20,Vent Availability,TSA-P,San Antonio,73,36,815,105,888,141,14,7,314,78,328,85,40,17,183
2020-05-20,Vent Availability,TSA-Q,Houston,288,75,1120,574,1408,649,113,16,662,336,775,352,163,118,194
2020-05-20,Vent Availability,TSA-R,Galveston,49,26,168,86,217,112,26,9,91,61,117,70,39,34,62
2020-05-20,Vent Availability,TSA-S,Victoria,3,1,43,10,46,11,0,0,22,5,22,5,0,1,26
2020-05-20,Vent Availability,TSA-T,Laredo,21,0,56,22,77,22,8,0,30,14,38,14,0,6,6
2020-05-20,Vent Availability,TSA-U,Corpus Christi,52,19,109,31,161,50,5,0,93,45,98,45,0,0,16
2020-05-20,Vent Availability,TSA-V,Lower Rio Grande Valley,30,2,208,81,238,83,11,0,131,73,142,73,2,4,48
