country_region_code,country_region,sub_region_1,sub_region_2,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
US,United States,Texas,NA,US-TX,NA,2020-05-25,-22,-9,-5,-42,-69,22
US,United States,Texas,NA,US-TX,NA,2020-05-26,-15,-3,4,-31,-37,14
US,United States,Texas,NA,US-TX,NA,2020-05-27,-14,-3,9,-30,-36,14
US,United States,Texas,NA,US-TX,NA,2020-05-28,-13,-2,18,-30,-37,14
US,United States,Texas,NA,US-TX,NA,2020-05-29,-15,-1,13,-28,-35,13
US,United States,Texas,NA,US-TX,NA,2020-05-30,-19,-2,15,-22,-10,5
US,United States,Texas,NA,US-TX,NA,2020-05-31,-18,-7,-5,-29,-13,6
US,United States,Texas,NA,US-TX,NA,2020-06-01,-12,-3,1,-30,-35,12
US,United States,Texas,NA,US-TX,NA,2020-06-02,-11,-2,14,-28,-36,13
US,United States,Texas,NA,US-TX,NA,2020-06-03,-9,3,15,-28,-35,12
US,United States,Texas,NA,US-TX,NA,2020-06-04,-11,0,26,-27,-36,12
US,United States,Texas,NA,US-TX,NA,2020-06-05,-14,0,12,-27,-35,12
US,United States,Texas,NA,US-TX,NA,2020-06-06,-18,-1,15,-23,-13,5
US,United States,Texas,NA,US-TX,NA,2020-06-07,-15,-4,4,-28,-15,5
US,United States,Texas,NA,US-TX,NA,2020-06-08,-13,-5,4,-29,-35,12
US,United States,Texas,NA,US-TX,NA,2020-06-09,-12,-3,10,-28,-36,12
US,United States,Texas,NA,US-TX,NA,2020-06-10,-9,0,26,-26,-34,12
US,United States,Texas,NA,US-TX,NA,2020-06-11,-10,-1,35,-26,-36,12
US,United States,Texas,NA,US-TX,NA,2020-06-12,-13,0,20,-25,-35,11
US,United States,Texas,NA,US-TX,NA,2020-06-13,-17,-1,23,-20,-11,4
US,United States,Texas,NA,US-TX,NA,2020-06-14,-14,-4,11,-25,-13,4
US,United States,Texas,NA,US-TX,NA,2020-06-15,-12,-4,13,-27,-35,11
US,United States,Texas,NA,US-TX,NA,2020-06-16,-11,-2,21,-26,-36,12
US,United States,Texas,NA,US-TX,NA,2020-06-17,-10,1,27,-25,-35,12
US,United States,Texas,NA,US-TX,NA,2020-06-18,-11,-1,35,-25,-37,12
US,United States,Texas,NA,US-TX,NA,2020-06-19,-14,0,17,-24,-37,10
US,United States,Texas,NA,US-TX,NA,2020-06-20,-17,2,12,-22,-13,5
US,United States,Texas,NA,US-TX,NA,2020-06-21,-19,-3,-7,-27,-13,4
US,United States,Texas,NA,US-TX,NA,2020-06-22,-18,-10,-4,-29,-39,13
US,United States,Texas,NA,US-TX,NA,2020-06-23,-15,-6,0,-28,-40,14
US,United States,Texas,NA,US-TX,NA,2020-06-24,-13,-3,12,-27,-37,13
US,United States,Texas,NA,US-TX,NA,2020-06-25,-15,-5,18,-28,-39,14
US,United States,Texas,NA,US-TX,NA,2020-06-26,-20,-5,-1,-28,-38,14
US,United States,Texas,NA,US-TX,NA,2020-06-27,-24,-6,3,-24,-15,7
