state,fips,county,date,active
Texas,48,Angelina,2020-05-10,81
Texas,48,Angelina,2020-05-11,70
Texas,48,Angelina,2020-05-12,86
Texas,48,Angelina,2020-05-13,86
Texas,48,Angelina,2020-05-14,88
Texas,48,Angelina,2020-05-15,100
Texas,48,Angelina,2020-05-16,108
Texas,48,Angelina,2020-05-17,108
Texas,48,Angelina,2020-05-18,84
Texas,48,Angelina,2020-05-19,99
Texas,48,Angelina,2020-05-20,98
Texas,48,Angelina,2020-05-21,112
Texas,48,Angelina,2020-05-22,116
Texas,48,Angelina,2020-05-23,119
Texas,48,Angelina,2020-05-24,119
Texas,48,Angelina,2020-05-25,119
Texas,48,Angelina,2020-05-26,119
Texas,48,Angelina,2020-05-27,99
Texas,48,Angelina,2020-05-28,107
Texas,48,Angelina,2020-05-29,109
Texas,48,Angelina,2020-05-30,111
Texas,48,Angelina,2020-05-31,111
Texas,48,Angelina,2020-06-01,111
Texas,48,Angelina,2020-06-02,120
Texas,48,Angelina,2020-06-03,105
Texas,48,Angelina,2020-06-04,105
Texas,48,Angelina,2020-06-05,105
Texas,48,Angelina,2020-06-06,110
Texas,48,Angelina,2020-06-07,110
Texas,48,Angelina,2020-06-08,110
Texas,48,Angelina,2020-06-09,72
Texas,48,Angelina,2020-06-10,116
Texas,48,Angelina,2020-06-11,116
Texas,48,Angelina,2020-06-12,144
Texas,48,Angelina,2020-06-13,144
Texas,48,Angelina,2020-06-14,144
Texas,48,Angelina,2020-06-15,120
Texas,48,Angelina,2020-06-16,142
Texas,48,Angelina,2020-06-17,163
Texas,48,Angelina,2020-06-18,162
Texas,48,Angelina,2020-06-19,176
Texas,48,Angelina,2020-06-20,190
Texas,48,Angelina,2020-06-21,190
Texas,48,Angelina,2020-06-22,149
Texas,48,Angelina,2020-06-23,184
Texas,48,Angelina,2020-06-24,195
Texas,48,Angelina,2020-06-25,214
Texas,48,Angelina,2020-06-26,233
Texas,48,Angelina,2020-06-27,233
Texas,48,Angelina,2020-06-28,233
Texas,48,Angelina,2020-06-29,233
Texas,48,Angelina,2020-06-30,245
Texas,48,Angelina,2020-07-01,273
Texas,48,Angelina,2020-07-02,285
Texas,48,Angelina,2020-07-03,307
Texas,48,Angelina,2020-07-04,307
Texas,48,Angelina,2020-07-05,307
Texas,48,Angelina,2020-07-06,307
Texas,48,Angelina,2020-07-07,376
Texas,48,Angelina,2020-07-08,376
Texas,48,Angelina,2020-07-09,411
Texas,48,Angelina,2020-07-10,449
Texas,48,Angelina,2020-07-11,509
Texas,48,Angelina,2020-07-12,509
Texas,48,Angelina,2020-07-13,509
Texas,48,Angelina,2020-07-14,597
Texas,48,Angelina,2020-07-15,421
Texas,48,Angelina,2020-07-16,527
Texas,48,Angelina,2020-07-17,587
Texas,48,Angelina,2020-07-18,587
Texas,48,Angelina,2020-07-19,587
Texas,48,Angelina,2020-07-20,587
Texas,48,Angelina,2020-07-21,587
Texas,48,Angelina,2020-07-22,819
Texas,48,Angelina,2020-07-23,819
Texas,48,Angelina,2020-07-24,968
Texas,48,Angelina,2020-07-25,990
Texas,48,Angelina,2020-07-26,974
Texas,48,Angelina,2020-07-27,974
Texas,48,Aransas,2020-04-07,1
Texas,48,Aransas,2020-04-08,2
Texas,48,Aransas,2020-04-09,2
Texas,48,Aransas,2020-04-10,2
Texas,48,Aransas,2020-04-11,2
Texas,48,Aransas,2020-04-12,2
Texas,48,Aransas,2020-04-13,2
Texas,48,Aransas,2020-04-14,2
Texas,48,Aransas,2020-04-15,2
Texas,48,Aransas,2020-04-16,2
Texas,48,Aransas,2020-04-17,2
Texas,48,Aransas,2020-04-18,2
Texas,48,Aransas,2020-04-19,1
Texas,48,Aransas,2020-04-20,1
Texas,48,Aransas,2020-04-21,1
Texas,48,Aransas,2020-04-22,0
Texas,48,Aransas,2020-04-23,0
Texas,48,Aransas,2020-04-24,0
Texas,48,Aransas,2020-04-25,0
Texas,48,Aransas,2020-04-26,0
Texas,48,Aransas,2020-04-27,0
Texas,48,Aransas,2020-04-28,0
Texas,48,Aransas,2020-04-29,0
Texas,48,Aransas,2020-04-30,0
Texas,48,Aransas,2020-05-01,0
Texas,48,Aransas,2020-05-02,0
Texas,48,Aransas,2020-05-03,0
Texas,48,Aransas,2020-05-04,0
Texas,48,Aransas,2020-05-05,0
Texas,48,Aransas,2020-05-06,0
Texas,48,Aransas,2020-05-07,0
Texas,48,Aransas,2020-05-08,0
Texas,48,Aransas,2020-05-09,0
Texas,48,Aransas,2020-05-10,0
Texas,48,Aransas,2020-05-11,0
Texas,48,Aransas,2020-05-12,0
Texas,48,Aransas,2020-05-13,0
Texas,48,Aransas,2020-05-14,1
Texas,48,Aransas,2020-05-15,1
Texas,48,Aransas,2020-05-16,1
Texas,48,Aransas,2020-05-17,1
Texas,48,Aransas,2020-05-18,1
Texas,48,Aransas,2020-05-19,1
Texas,48,Aransas,2020-05-20,2
Texas,48,Aransas,2020-05-21,3
Texas,48,Aransas,2020-05-22,3
Texas,48,Aransas,2020-05-23,3
Texas,48,Aransas,2020-05-24,3
Texas,48,Aransas,2020-05-25,3
Texas,48,Aransas,2020-05-26,3
Texas,48,Aransas,2020-05-27,3
Texas,48,Aransas,2020-05-28,2
Texas,48,Aransas,2020-05-29,2
Texas,48,Aransas,2020-05-30,2
Texas,48,Aransas,2020-05-31,2
Texas,48,Aransas,2020-06-01,2
Texas,48,Aransas,2020-06-02,2
Texas,48,Aransas,2020-06-03,1
Texas,48,Aransas,2020-06-04,1
Texas,48,Aransas,2020-06-05,1
Texas,48,Aransas,2020-06-06,1
Texas,48,Aransas,2020-06-07,1
Texas,48,Aransas,2020-06-08,1
Texas,48,Aransas,2020-06-09,1
Texas,48,Aransas,2020-06-10,1
Texas,48,Aransas,2020-06-11,1
Texas,48,Aransas,2020-06-12,2
Texas,48,Aransas,2020-06-13,2
Texas,48,Aransas,2020-06-14,2
Texas,48,Aransas,2020-06-15,1
Texas,48,Aransas,2020-06-16,2
Texas,48,Aransas,2020-06-17,2
Texas,48,Aransas,2020-06-18,2
Texas,48,Aransas,2020-06-19,2
Texas,48,Aransas,2020-06-20,2
Texas,48,Aransas,2020-06-21,2
Texas,48,Aransas,2020-06-22,2
Texas,48,Aransas,2020-06-23,5
Texas,48,Aransas,2020-06-24,5
Texas,48,Aransas,2020-06-25,5
Texas,48,Aransas,2020-06-26,6
Texas,48,Aransas,2020-06-27,10
Texas,48,Aransas,2020-06-28,11
Texas,48,Aransas,2020-06-29,14
Texas,48,Aransas,2020-06-30,16
Texas,48,Aransas,2020-07-01,17
Texas,48,Aransas,2020-07-02,21
Texas,48,Aransas,2020-07-03,23
Texas,48,Aransas,2020-07-04,24
Texas,48,Aransas,2020-07-05,25
Texas,48,Aransas,2020-07-06,33
Texas,48,Aransas,2020-07-07,32
Texas,48,Aransas,2020-07-08,31
Texas,48,Aransas,2020-07-09,34
Texas,48,Aransas,2020-07-10,28
Texas,48,Aransas,2020-07-11,28
Texas,48,Aransas,2020-07-12,32
Texas,48,Aransas,2020-07-13,33
Texas,48,Aransas,2020-07-14,30
Texas,48,Aransas,2020-07-15,30
Texas,48,Aransas,2020-07-16,39
Texas,48,Aransas,2020-07-17,45
Texas,48,Aransas,2020-07-18,49
Texas,48,Aransas,2020-07-19,55
Texas,48,Aransas,2020-07-20,56
Texas,48,Aransas,2020-07-21,70
Texas,48,Aransas,2020-07-22,75
Texas,48,Aransas,2020-07-23,68
Texas,48,Aransas,2020-07-24,70
Texas,48,Aransas,2020-07-25,77
Texas,48,Aransas,2020-07-26,74
Texas,48,Aransas,2020-07-27,79
Texas,48,Archer,2020-04-07,0
Texas,48,Archer,2020-04-08,0
Texas,48,Archer,2020-04-09,0
Texas,48,Archer,2020-04-10,0
Texas,48,Archer,2020-04-11,0
Texas,48,Archer,2020-04-12,0
Texas,48,Archer,2020-04-13,0
Texas,48,Archer,2020-04-14,0
Texas,48,Archer,2020-04-15,0
Texas,48,Archer,2020-04-16,0
Texas,48,Archer,2020-04-17,0
Texas,48,Archer,2020-04-18,0
Texas,48,Archer,2020-04-19,0
Texas,48,Archer,2020-04-20,0
Texas,48,Archer,2020-04-21,0
Texas,48,Archer,2020-04-22,0
Texas,48,Archer,2020-04-23,0
Texas,48,Archer,2020-04-24,0
Texas,48,Archer,2020-04-25,0
Texas,48,Archer,2020-04-26,0
Texas,48,Archer,2020-04-27,0
Texas,48,Archer,2020-04-28,0
Texas,48,Archer,2020-04-29,0
Texas,48,Archer,2020-04-30,0
Texas,48,Archer,2020-05-01,0
Texas,48,Archer,2020-05-02,0
Texas,48,Archer,2020-05-03,0
Texas,48,Archer,2020-05-04,0
Texas,48,Archer,2020-05-05,0
Texas,48,Archer,2020-05-06,0
Texas,48,Archer,2020-05-07,0
Texas,48,Archer,2020-05-08,0
Texas,48,Archer,2020-05-09,0
Texas,48,Archer,2020-05-10,0
Texas,48,Archer,2020-05-11,0
Texas,48,Archer,2020-05-12,0
Texas,48,Archer,2020-05-13,0
Texas,48,Archer,2020-05-14,0
Texas,48,Archer,2020-05-15,1
Texas,48,Archer,2020-05-16,1
Texas,48,Archer,2020-05-17,1
Texas,48,Archer,2020-05-18,1
Texas,48,Archer,2020-05-19,1
Texas,48,Archer,2020-05-20,1
Texas,48,Archer,2020-05-21,1
Texas,48,Archer,2020-05-22,1
Texas,48,Archer,2020-05-23,1
Texas,48,Archer,2020-05-24,1
Texas,48,Archer,2020-05-25,1
Texas,48,Archer,2020-05-26,1
Texas,48,Archer,2020-05-27,1
Texas,48,Archer,2020-05-28,1
Texas,48,Archer,2020-05-29,0
Texas,48,Archer,2020-05-30,0
Texas,48,Archer,2020-05-31,0
Texas,48,Archer,2020-06-01,0
Texas,48,Archer,2020-06-02,0
Texas,48,Archer,2020-06-03,0
Texas,48,Archer,2020-06-04,0
Texas,48,Archer,2020-06-05,1
Texas,48,Archer,2020-06-06,1
Texas,48,Archer,2020-06-07,1
Texas,48,Archer,2020-06-08,1
Texas,48,Archer,2020-06-09,2
Texas,48,Archer,2020-06-10,2
Texas,48,Archer,2020-06-11,2
Texas,48,Archer,2020-06-12,2
Texas,48,Archer,2020-06-13,2
Texas,48,Archer,2020-06-14,2
Texas,48,Archer,2020-06-15,2
Texas,48,Archer,2020-06-16,2
Texas,48,Archer,2020-06-17,2
Texas,48,Archer,2020-06-18,2
Texas,48,Archer,2020-06-19,1
Texas,48,Archer,2020-06-20,1
Texas,48,Archer,2020-06-21,1
Texas,48,Archer,2020-06-22,1
Texas,48,Archer,2020-06-23,1
Texas,48,Archer,2020-06-24,2
Texas,48,Archer,2020-06-25,2
Texas,48,Archer,2020-06-26,2
Texas,48,Archer,2020-06-27,3
Texas,48,Archer,2020-06-28,3
Texas,48,Archer,2020-06-29,3
Texas,48,Archer,2020-06-30,4
Texas,48,Archer,2020-07-01,4
Texas,48,Archer,2020-07-02,5
Texas,48,Archer,2020-07-03,5
Texas,48,Archer,2020-07-04,5
Texas,48,Archer,2020-07-05,5
Texas,48,Archer,2020-07-06,5
