county,date,value
Collingsworth,2020-05-02,5
Collingsworth,2020-04-25,1
Collingsworth,2020-04-18,5
Collingsworth,2020-04-11,2
Colorado,2020-06-13,40
Colorado,2020-06-06,34
Colorado,2020-05-30,41
Colorado,2020-05-23,34
Colorado,2020-05-16,35
Colorado,2020-05-09,49
Colorado,2020-05-02,69
Colorado,2020-04-25,60
Colorado,2020-04-18,75
Colorado,2020-04-11,63
Comal,2020-06-13,281
Comal,2020-06-06,282
Comal,2020-05-30,389
Comal,2020-05-23,389
Comal,2020-05-16,435
Comal,2020-05-09,607
Comal,2020-05-02,708
Comal,2020-04-25,722
Comal,2020-04-18,934
Comal,2020-04-11,1003
Comanche,2020-06-13,39
Comanche,2020-06-06,20
Comanche,2020-05-30,20
Comanche,2020-05-23,28
Comanche,2020-05-16,31
Comanche,2020-05-09,25
Comanche,2020-05-02,41
Comanche,2020-04-25,28
Comanche,2020-04-18,38
Comanche,2020-04-11,41
Concho,2020-06-13,3
Concho,2020-06-06,NA
Concho,2020-05-30,3
Concho,2020-05-23,2
Concho,2020-05-16,4
Concho,2020-05-09,5
Concho,2020-05-02,3
Concho,2020-04-25,4
Concho,2020-04-18,7
Concho,2020-04-11,7
Cooke,2020-06-13,76
Cooke,2020-06-06,97
Cooke,2020-05-30,82
Cooke,2020-05-23,108
Cooke,2020-05-16,190
Cooke,2020-05-09,214
Cooke,2020-05-02,186
Cooke,2020-04-25,180
Cooke,2020-04-18,301
Cooke,2020-04-11,337
Coryell,2020-06-13,133
Coryell,2020-06-06,150
Coryell,2020-05-30,156
Coryell,2020-05-23,155
Coryell,2020-05-16,170
Coryell,2020-05-09,163
Coryell,2020-05-02,195
Coryell,2020-04-25,189
Coryell,2020-04-18,229
Coryell,2020-04-11,334
Cottle,2020-06-13,5
Cottle,2020-06-06,NA
Cottle,2020-05-30,1
Cottle,2020-05-23,1
Cottle,2020-05-16,NA
Cottle,2020-05-09,3
Cottle,2020-05-02,1
Cottle,2020-04-25,1
Cottle,2020-04-18,5
Cottle,2020-04-11,3
Crane,2020-06-13,22
Crane,2020-06-06,19
Crane,2020-05-30,18
Crane,2020-05-23,27
Crane,2020-05-16,19
Crane,2020-05-09,30
Crane,2020-05-02,26
Crane,2020-04-25,35
Crane,2020-04-18,29
Crane,2020-04-11,35
Crockett,2020-06-13,5
Crockett,2020-06-06,6
Crockett,2020-05-30,4
Crockett,2020-05-23,4
Crockett,2020-05-16,19
Crockett,2020-05-09,19
Crockett,2020-05-02,13
Crockett,2020-04-25,18
Crockett,2020-04-18,16
Crockett,2020-04-11,16
Crosby,2020-06-13,13
Crosby,2020-06-06,9
Crosby,2020-05-30,7
Crosby,2020-05-23,10
Crosby,2020-05-16,2
Crosby,2020-05-09,7
Crosby,2020-05-02,19
Crosby,2020-04-25,11
Crosby,2020-04-18,18
Crosby,2020-04-11,13
Culberson,2020-06-13,1
Culberson,2020-06-06,2
Culberson,2020-05-30,2
Culberson,2020-05-23,6
Culberson,2020-05-16,7
Culberson,2020-05-09,8
Culberson,2020-05-02,3
Culberson,2020-04-25,14
Culberson,2020-04-18,8
Culberson,2020-04-11,5
Dallam,2020-06-13,5
Dallam,2020-06-06,4
Dallam,2020-05-30,9
Dallam,2020-05-23,5
Dallam,2020-05-16,12
Dallam,2020-05-09,9
Dallam,2020-05-02,8
Dallam,2020-04-25,6
Dallam,2020-04-18,5
Dallam,2020-04-11,6
Dallas,2020-06-13,7914
Dallas,2020-06-06,9186
Dallas,2020-05-30,9779
Dallas,2020-05-23,10650
Dallas,2020-05-16,11033
Dallas,2020-05-09,12294
Dallas,2020-05-02,15510
Dallas,2020-04-25,14569
Dallas,2020-04-18,19653
Dallas,2020-04-11,21400
Dawson,2020-06-13,21
Dawson,2020-06-06,25
Dawson,2020-05-30,31
Dawson,2020-05-23,41
Dawson,2020-05-16,34
Dawson,2020-05-09,53
Dawson,2020-05-02,79
Dawson,2020-04-25,54
Dawson,2020-04-18,53
Dawson,2020-04-11,27
De Witt,2020-06-13,52
De Witt,2020-06-06,67
De Witt,2020-05-30,48
De Witt,2020-05-23,56
De Witt,2020-05-16,60
De Witt,2020-05-09,53
De Witt,2020-05-02,96
De Witt,2020-04-25,63
De Witt,2020-04-18,98
De Witt,2020-04-11,84
Deaf Smith,2020-06-13,21
Deaf Smith,2020-06-06,15
Deaf Smith,2020-05-30,17
Deaf Smith,2020-05-23,18
Deaf Smith,2020-05-16,25
Deaf Smith,2020-05-09,20
Deaf Smith,2020-05-02,34
Deaf Smith,2020-04-25,21
Deaf Smith,2020-04-18,21
Deaf Smith,2020-04-11,31
Delta,2020-06-13,7
Delta,2020-06-06,14
Delta,2020-05-30,9
Delta,2020-05-23,14
Delta,2020-05-16,7
Delta,2020-05-09,24
Delta,2020-05-02,10
Delta,2020-04-25,15
Delta,2020-04-18,23
Delta,2020-04-11,18
Denton,2020-06-13,1816
Denton,2020-06-06,2175
Denton,2020-05-30,2371
Denton,2020-05-23,3077
Denton,2020-05-16,3071
Denton,2020-05-09,3877
Denton,2020-05-02,5163
Denton,2020-04-25,4806
Denton,2020-04-18,6703
Denton,2020-04-11,8235
Dickens,2020-06-13,3
Dickens,2020-06-06,NA
Dickens,2020-05-30,1
Dickens,2020-05-23,5
Dickens,2020-05-16,3
Dickens,2020-05-09,4
Dickens,2020-05-02,4
Dickens,2020-04-25,5
Dickens,2020-04-18,7
Dickens,2020-04-11,6
Dimmit,2020-06-13,31
Dimmit,2020-06-06,29
Dimmit,2020-05-30,47
Dimmit,2020-05-23,40
Dimmit,2020-05-16,69
Dimmit,2020-05-09,68
Dimmit,2020-05-02,55
Dimmit,2020-04-25,42
Dimmit,2020-04-18,53
Dimmit,2020-04-11,51
Donley,2020-06-13,5
Donley,2020-06-06,5
Donley,2020-05-30,5
Donley,2020-05-23,12
Donley,2020-05-16,7
Donley,2020-05-09,3
Donley,2020-05-02,8
Donley,2020-04-25,5
Donley,2020-04-18,8
Donley,2020-04-11,8
Duval,2020-06-13,42
Duval,2020-06-06,53
Duval,2020-05-30,56
Duval,2020-05-23,54
Duval,2020-05-16,66
Duval,2020-05-09,61
Duval,2020-05-02,93
Duval,2020-04-25,62
Duval,2020-04-18,79
Duval,2020-04-11,67
Eastland,2020-06-13,38
Eastland,2020-06-06,33
Eastland,2020-05-30,48
Eastland,2020-05-23,40
Eastland,2020-05-16,47
Eastland,2020-05-09,43
Eastland,2020-05-02,59
Eastland,2020-04-25,44
Eastland,2020-04-18,65
Eastland,2020-04-11,63
Ector,2020-06-13,790
Ector,2020-06-06,856
Ector,2020-05-30,873
Ector,2020-05-23,993
Ector,2020-05-16,1111
Ector,2020-05-09,1241
Ector,2020-05-02,1468
Ector,2020-04-25,1468
Ector,2020-04-18,1558
Ector,2020-04-11,1531
Edwards,2020-06-13,5
Edwards,2020-06-06,3
Edwards,2020-05-30,3
Edwards,2020-05-23,2
Edwards,2020-05-16,3
Edwards,2020-05-09,6
Edwards,2020-05-02,3
Edwards,2020-04-25,5
Edwards,2020-04-18,5
Edwards,2020-04-11,1
El Paso,2020-06-13,1904
El Paso,2020-06-06,2220
El Paso,2020-05-30,2736
El Paso,2020-05-23,3093
El Paso,2020-05-16,3239
El Paso,2020-05-09,3705
El Paso,2020-05-02,4555
El Paso,2020-04-25,4583
El Paso,2020-04-18,6662
El Paso,2020-04-11,6539
Ellis,2020-06-13,462
Ellis,2020-06-06,455
