county,date,value
Crockett,2020-05-09,19
Crosby,2020-07-11,14
Crosby,2020-07-04,7
Crosby,2020-06-27,10
Crosby,2020-06-20,8
Crosby,2020-06-13,13
Crosby,2020-06-06,9
Crosby,2020-05-30,7
Crosby,2020-05-23,10
Crosby,2020-05-16,2
Crosby,2020-05-09,7
Culberson,2020-07-11,12
Culberson,2020-07-04,5
Culberson,2020-06-27,4
Culberson,2020-06-20,3
Culberson,2020-06-13,1
Culberson,2020-06-06,2
Culberson,2020-05-30,2
Culberson,2020-05-23,6
Culberson,2020-05-16,7
Culberson,2020-05-09,8
Dallam,2020-07-11,4
Dallam,2020-07-04,8
Dallam,2020-06-27,6
Dallam,2020-06-20,3
Dallam,2020-06-13,5
Dallam,2020-06-06,4
Dallam,2020-05-30,9
Dallam,2020-05-23,5
Dallam,2020-05-16,12
Dallam,2020-05-09,9
Dallas,2020-07-11,8232
Dallas,2020-07-04,9133
Dallas,2020-06-27,7115
Dallas,2020-06-20,8084
Dallas,2020-06-13,7914
Dallas,2020-06-06,9186
Dallas,2020-05-30,9779
Dallas,2020-05-23,10650
Dallas,2020-05-16,11033
Dallas,2020-05-09,12294
Dawson,2020-07-11,32
Dawson,2020-07-04,27
Dawson,2020-06-27,28
Dawson,2020-06-20,21
Dawson,2020-06-13,21
Dawson,2020-06-06,25
Dawson,2020-05-30,31
Dawson,2020-05-23,41
Dawson,2020-05-16,34
Dawson,2020-05-09,53
De Witt,2020-07-11,49
De Witt,2020-07-04,65
De Witt,2020-06-27,48
De Witt,2020-06-20,61
De Witt,2020-06-13,52
De Witt,2020-06-06,67
De Witt,2020-05-30,48
De Witt,2020-05-23,56
De Witt,2020-05-16,60
De Witt,2020-05-09,53
Deaf Smith,2020-07-11,23
Deaf Smith,2020-07-04,31
Deaf Smith,2020-06-27,19
Deaf Smith,2020-06-20,24
Deaf Smith,2020-06-13,21
Deaf Smith,2020-06-06,15
Deaf Smith,2020-05-30,17
Deaf Smith,2020-05-23,18
Deaf Smith,2020-05-16,25
Deaf Smith,2020-05-09,20
Delta,2020-07-11,9
Delta,2020-07-04,8
Delta,2020-06-27,7
Delta,2020-06-20,10
Delta,2020-06-13,7
Delta,2020-06-06,14
Delta,2020-05-30,9
Delta,2020-05-23,14
Delta,2020-05-16,7
Delta,2020-05-09,24
Denton,2020-07-11,2195
Denton,2020-07-04,2283
Denton,2020-06-27,1871
Denton,2020-06-20,1964
Denton,2020-06-13,1816
Denton,2020-06-06,2175
Denton,2020-05-30,2371
Denton,2020-05-23,3077
Denton,2020-05-16,3071
Denton,2020-05-09,3877
Dickens,2020-07-11,3
Dickens,2020-07-04,4
Dickens,2020-06-27,1
Dickens,2020-06-20,1
Dickens,2020-06-13,3
Dickens,2020-06-06,NA
Dickens,2020-05-30,1
Dickens,2020-05-23,5
Dickens,2020-05-16,3
Dickens,2020-05-09,4
Dimmit,2020-07-11,42
Dimmit,2020-07-04,35
Dimmit,2020-06-27,21
Dimmit,2020-06-20,26
Dimmit,2020-06-13,31
Dimmit,2020-06-06,29
Dimmit,2020-05-30,47
Dimmit,2020-05-23,40
Dimmit,2020-05-16,69
Dimmit,2020-05-09,68
Donley,2020-07-11,5
Donley,2020-07-04,2
Donley,2020-06-27,6
Donley,2020-06-20,2
Donley,2020-06-13,5
Donley,2020-06-06,5
Donley,2020-05-30,5
Donley,2020-05-23,12
Donley,2020-05-16,7
Donley,2020-05-09,3
Duval,2020-07-11,49
Duval,2020-07-04,54
Duval,2020-06-27,45
Duval,2020-06-20,58
Duval,2020-06-13,42
Duval,2020-06-06,53
Duval,2020-05-30,56
Duval,2020-05-23,54
Duval,2020-05-16,66
Duval,2020-05-09,61
Eastland,2020-07-11,39
Eastland,2020-07-04,31
Eastland,2020-06-27,27
Eastland,2020-06-20,28
Eastland,2020-06-13,38
Eastland,2020-06-06,33
Eastland,2020-05-30,48
Eastland,2020-05-23,40
Eastland,2020-05-16,47
Eastland,2020-05-09,43
Ector,2020-07-11,848
Ector,2020-07-04,978
Ector,2020-06-27,764
Ector,2020-06-20,1197
Ector,2020-06-13,790
Ector,2020-06-06,856
Ector,2020-05-30,873
Ector,2020-05-23,993
Ector,2020-05-16,1111
Ector,2020-05-09,1241
Edwards,2020-07-11,3
Edwards,2020-07-04,3
Edwards,2020-06-27,NA
Edwards,2020-06-20,1
Edwards,2020-06-13,5
Edwards,2020-06-06,3
Edwards,2020-05-30,3
Edwards,2020-05-23,2
Edwards,2020-05-16,3
Edwards,2020-05-09,6
El Paso,2020-07-11,2204
El Paso,2020-07-04,2283
El Paso,2020-06-27,1886
El Paso,2020-06-20,1836
El Paso,2020-06-13,1904
El Paso,2020-06-06,2220
El Paso,2020-05-30,2736
El Paso,2020-05-23,3093
El Paso,2020-05-16,3239
El Paso,2020-05-09,3705
Ellis,2020-07-11,451
Ellis,2020-07-04,449
Ellis,2020-06-27,375
Ellis,2020-06-20,392
Ellis,2020-06-13,462
Ellis,2020-06-06,455
Ellis,2020-05-30,500
Ellis,2020-05-23,513
Ellis,2020-05-16,559
Ellis,2020-05-09,630
Erath,2020-07-11,107
Erath,2020-07-04,119
Erath,2020-06-27,91
Erath,2020-06-20,114
Erath,2020-06-13,148
Erath,2020-06-06,132
Erath,2020-05-30,80
Erath,2020-05-23,122
Erath,2020-05-16,123
Erath,2020-05-09,97
Falls,2020-07-11,44
Falls,2020-07-04,33
Falls,2020-06-27,24
Falls,2020-06-20,33
Falls,2020-06-13,31
Falls,2020-06-06,41
Falls,2020-05-30,30
Falls,2020-05-23,41
Falls,2020-05-16,34
Falls,2020-05-09,37
Fannin,2020-07-11,67
Fannin,2020-07-04,59
Fannin,2020-06-27,41
Fannin,2020-06-20,34
Fannin,2020-06-13,43
Fannin,2020-06-06,63
Fannin,2020-05-30,66
Fannin,2020-05-23,78
Fannin,2020-05-16,97
Fannin,2020-05-09,100
Fayette,2020-07-11,59
Fayette,2020-07-04,56
Fayette,2020-06-27,31
Fayette,2020-06-20,34
Fayette,2020-06-13,28
Fayette,2020-06-06,24
Fayette,2020-05-30,22
Fayette,2020-05-23,37
Fayette,2020-05-16,46
Fayette,2020-05-09,58
Fisher,2020-07-11,7
Fisher,2020-07-04,2
Fisher,2020-06-27,7
Fisher,2020-06-20,5
Fisher,2020-06-13,5
Fisher,2020-06-06,2
Fisher,2020-05-30,10
Fisher,2020-05-23,8
Fisher,2020-05-16,10
Fisher,2020-05-09,14
Floyd,2020-07-11,11
Floyd,2020-07-04,12
Floyd,2020-06-27,7
Floyd,2020-06-20,17
Floyd,2020-06-13,7
Floyd,2020-06-06,7
Floyd,2020-05-30,6
Floyd,2020-05-23,10
Floyd,2020-05-16,9
Floyd,2020-05-09,7
Foard,2020-07-11,NA
Foard,2020-07-04,2
Foard,2020-06-27,1
Foard,2020-06-20,NA
Foard,2020-06-13,NA
Foard,2020-06-06,1
Foard,2020-05-30,NA
Foard,2020-05-23,1
Foard,2020-05-16,2
Foard,2020-05-09,NA
Fort Bend,2020-07-11,2611
Fort Bend,2020-07-04,2871
Fort Bend,2020-06-27,2206
Fort Bend,2020-06-20,2219
Fort Bend,2020-06-13,2157
Fort Bend,2020-06-06,2573
Fort Bend,2020-05-30,2741
Fort Bend,2020-05-23,3124
Fort Bend,2020-05-16,3512
Fort Bend,2020-05-09,4147
Franklin,2020-07-11,18
Franklin,2020-07-04,30
Franklin,2020-06-27,13
Franklin,2020-06-20,17
Franklin,2020-06-13,19
Franklin,2020-06-06,18
Franklin,2020-05-30,13
Franklin,2020-05-23,21
Franklin,2020-05-16,10
Franklin,2020-05-09,35
Freestone,2020-07-11,45
Freestone,2020-07-04,52
Freestone,2020-06-27,31
Freestone,2020-06-20,29
Freestone,2020-06-13,51
Freestone,2020-06-06,53
Freestone,2020-05-30,64
Freestone,2020-05-23,47
Freestone,2020-05-16,54
Freestone,2020-05-09,52
Frio,2020-07-11,36
Frio,2020-07-04,54
Frio,2020-06-27,45
Frio,2020-06-20,43
Frio,2020-06-13,38
Frio,2020-06-06,42
Frio,2020-05-30,55
Frio,2020-05-23,56
Frio,2020-05-16,70
Frio,2020-05-09,69
Gaines,2020-07-11,17
Gaines,2020-07-04,26
Gaines,2020-06-27,40
Gaines,2020-06-20,31
Gaines,2020-06-13,25
Gaines,2020-06-06,31
Gaines,2020-05-30,21
Gaines,2020-05-23,45
Gaines,2020-05-16,60
Gaines,2020-05-09,46
Galveston,2020-07-11,1250
Galveston,2020-07-04,1534
Galveston,2020-06-27,1145
Galveston,2020-06-20,1045
Galveston,2020-06-13,941
Galveston,2020-06-06,1108
Galveston,2020-05-30,1185
Galveston,2020-05-23,1240
Galveston,2020-05-16,1356
Galveston,2020-05-09,1609
Garza,2020-07-11,14
Garza,2020-07-04,3
Garza,2020-06-27,13
Garza,2020-06-20,4
Garza,2020-06-13,19
Garza,2020-06-06,14
Garza,2020-05-30,9
Garza,2020-05-23,20
Garza,2020-05-16,16
Garza,2020-05-09,20
Gillespie,2020-07-11,43
Gillespie,2020-07-04,37
Gillespie,2020-06-27,21
Gillespie,2020-06-20,21
Gillespie,2020-06-13,33
Gillespie,2020-06-06,24
Gillespie,2020-05-30,36
Gillespie,2020-05-23,44
Gillespie,2020-05-16,56
Gillespie,2020-05-09,57
Glasscock,2020-07-11,1
Glasscock,2020-07-04,2
Glasscock,2020-06-27,NA
Glasscock,2020-06-20,2
Glasscock,2020-06-13,NA
Glasscock,2020-06-06,3
Glasscock,2020-05-30,3
Glasscock,2020-05-23,3
Glasscock,2020-05-16,3
Glasscock,2020-05-09,NA
Goliad,2020-07-11,20
Goliad,2020-07-04,37
Goliad,2020-06-27,19
Goliad,2020-06-20,21
Goliad,2020-06-13,19
Goliad,2020-06-06,17
Goliad,2020-05-30,17
Goliad,2020-05-23,22
Goliad,2020-05-16,26
Goliad,2020-05-09,31
Gonzales,2020-07-11,46
Gonzales,2020-07-04,56
Gonzales,2020-06-27,30
Gonzales,2020-06-20,34
Gonzales,2020-06-13,34
Gonzales,2020-06-06,36
Gonzales,2020-05-30,54
Gonzales,2020-05-23,57
Gonzales,2020-05-16,51
Gonzales,2020-05-09,89
Gray,2020-07-11,39
Gray,2020-07-04,39
Gray,2020-06-27,37
Gray,2020-06-20,57
Gray,2020-06-13,67
Gray,2020-06-06,65
Gray,2020-05-30,61
Gray,2020-05-23,116
Gray,2020-05-16,51
Gray,2020-05-09,76
Grayson,2020-07-11,352
Grayson,2020-07-04,304
Grayson,2020-06-27,255
Grayson,2020-06-20,283
Grayson,2020-06-13,268
Grayson,2020-06-06,279
Grayson,2020-05-30,339
Grayson,2020-05-23,394
Grayson,2020-05-16,474
Grayson,2020-05-09,593
Gregg,2020-07-11,416
Gregg,2020-07-04,375
Gregg,2020-06-27,397
Gregg,2020-06-20,380
Gregg,2020-06-13,417
Gregg,2020-06-06,405
Gregg,2020-05-30,453
Gregg,2020-05-23,495
Gregg,2020-05-16,439
Gregg,2020-05-09,544
Grimes,2020-07-11,73
Grimes,2020-07-04,91
Grimes,2020-06-27,54
Grimes,2020-06-20,55
Grimes,2020-06-13,77
Grimes,2020-06-06,61
Grimes,2020-05-30,109
Grimes,2020-05-23,85
Grimes,2020-05-16,100
Grimes,2020-05-09,142
Guadalupe,2020-07-11,389
Guadalupe,2020-07-04,430
Guadalupe,2020-06-27,368
Guadalupe,2020-06-20,352
Guadalupe,2020-06-13,326
