place,place_type,county,allocated,curr_released,pct_released
City of New Summerfield,City/Town,Cherokee,66770,13354,0.2
City of Reklaw,City/Town,Cherokee,12375,2475,0.2
City of Rusk,City/Town,Cherokee,315975,63195,0.2
City of Troup,City/Town,Cherokee,3520,704,0.2
City of Wells,City/Town,Cherokee,46530,9306,0.2
Childress County,County,Childress,61105,12221,0.2
City of Childress,City/Town,Childress,340725,68145,0.2
Clay County,County,Clay,288860,57772,0.2
City of Bellevue,City/Town,Clay,19250,3850,0.2
City of Byers,City/Town,Clay,26235,5247,0.2
City of Dean,City/Town,Clay,26070,5214,0.2
City of Henrietta,City/Town,Clay,168905,33781,0.2
City of Jolly,City/Town,Clay,8800,1760,0.2
City of Petrolia,City/Town,Clay,36850,7370,0.2
City of Windthorst,City/Town,Clay,935,187,0.2
Cochran County,County,Cochran,34815,6963,0.2
City of Morton,City/Town,Cochran,97955,19591,0.2
City of Whiteface,City/Town,Cochran,24145,4829,0.2
Coke County,County,Coke,71500,14300,0.2
City of Bronte,City/Town,Coke,54945,10989,0.2
City of Robert Lee,City/Town,Coke,59015,11803,0.2
City of Blackwell,City/Town,Coke,825,165,0.2
Coleman County,County,Coleman,140525,28105,0.2
City of Coleman,City/Town,Coleman,243760,48752,0.2
City of Novice,City/Town,Coleman,7535,1507,0.2
City of Santa Anna (Coleman),City/Town,Coleman,57805,11561,0.2
Collingsworth County,County,Collingsworth,42460,8492,0.2
City of Dodson,City/Town,Collingsworth,5720,1144,0.2
City of Wellington,City/Town,Collingsworth,112420,22484,0.2
Colorado County,County,Colorado,651145,130229,0.2
City of Columbus,City/Town,Colorado,204325,40865,0.2
City of Eagle Lake,City/Town,Colorado,203445,40689,0.2
City of Weimar,City/Town,Colorado,123200,24640,0.2
Comal County,County,Comal,4098215,819643,0.2
City of Bulverde,City/Town,Comal,318065,63613,0.2
City of Fair Oaks Ranch,City/Town,Comal,23320,4664,0.2
City of Garden Ridge,City/Town,Comal,226655,45331,0.2
City of New Braunfels,City/Town,Comal,3845325,930732,0.2420424801544733
City of Schertz,City/Town,Comal,64405,12881,0.2
City of Selma,City/Town,Comal,1485,297,0.2
City of Spring Branch,City/Town,Comal,14025,2805,0.2
Comanche County,County,Comanche,360305,72061,0.2
City of Comanche,City/Town,Comanche,239305,47861,0.2
City of De Leon,City/Town,Comanche,123035,24607,0.2
City of Gustine,City/Town,Comanche,27280,5456,0.2
Concho County,County,Concho,62865,12573,0.2
City of Eden,City/Town,Concho,80300,16060,0.2
City of Paint Rock,City/Town,Concho,6765,1353,0.2
Cooke County,County,Cooke,1123815,224763,0.2
City of Callisburg,City/Town,Cooke,21010,4202,0.2
City of Gainesville,City/Town,Cooke,915145,183029,0.2
City of Lindsay (Cooke),City/Town,Cooke,61985,12397,0.2
City of Muenster,City/Town,Cooke,89870,17974,0.2
City of Oak Ridge (Cooke),City/Town,Cooke,11000,2200,0.2
City of Valley View,City/Town,Cooke,46310,9262,0.2
Coryell County,County,Coryell,1472955,294591,0.2
City of Copperas Cove,City/Town,Coryell,1759395,351879,0.2
City of Gatesville,City/Town,Coryell,884290,176858,0.2
City of Oglesby,City/Town,Coryell,25795,5159,0.2
City of South Mountain,City/Town,Coryell,19910,3982,0.2
City of Evant,City/Town,Coryell,14960,2992,0.2
Cottle County,County,Cottle,18205,3641,0.2
City of Paducah,City/Town,Cottle,58685,11737,0.2
Crane County,County,Crane,66605,13321,0.2
City of Crane,City/Town,Crane,197230,39446,0.2
Crockett County,County,Crockett,190520,38104,0.2
Crosby County,County,Crosby,63195,12639,0.2
City of Crosbyton,City/Town,Crosby,87670,17534,0.2
City of Lorenzo,City/Town,Crosby,63800,12760,0.2
City of Ralls,City/Town,Crosby,100870,20174,0.2
Culberson County,County,Culberson,17545,3509,0.2
City of Van Horn,City/Town,Culberson,101860,20372,0.2
Dallam County,County,Dallam,62370,12474,0.2
City of Dalhart,City/Town,Dallam,309210,61842,0.2
City of Texline,City/Town,Dallam,29205,5841,0.2
Dawson County,County,Dawson,185900,37180,0.2
City of Lamesa,City/Town,Dawson,484880,96976,0.2
City of Los Ybanez,City/Town,Dawson,935,187,0.2
City of O' Donnell,City/Town,Dawson,6325,1265,0.2
City of Welch CDP,City/Town,Dawson,13530,2706,0.2
City of Ackerly,City/Town,Dawson,8470,1694,0.2
City of Deaf Smith,City/Town,Dawson,166815,33363,0.2
City of Hereford,City/Town,Dawson,853215,170643,0.2
Delta County,County,Delta,174570,34914,0.2
City of Cooper,City/Town,Delta,108185,21637,0.2
City of Pecan Gap,City/Town,Delta,10450,2090,0.2
DeWitt County,County,DeWitt,443300,88660,0.2
City of Cuero,City/Town,DeWitt,414975,82995,0.2
City of Nordheim,City/Town,DeWitt,17380,3476,0.2
City of Yoakum,City/Town,DeWitt,115555,23111,0.2
City of Yorktown,City/Town,DeWitt,117590,23518,0.2
Dickens County,County,Dickens,39435,7887,0.2
City of Dickens,City/Town,Dickens,14355,2871,0.2
City of Spur,City/Town,Dickens,67815,13563,0.2
Dimmit County,County,Dimmit,140470,28094,0.2
City of Asherton,City/Town,Dimmit,57145,11429,0.2
City of Big Wells,City/Town,Dimmit,37345,7469,0.2
City of Carrizo Springs,City/Town,Dimmit,321860,64372,0.2
Donley County,County,Donley,42130,8426,0.2
City of Clarendon,City/Town,Donley,101420,20284,0.2
City of Hedley,City/Town,Donley,16225,3245,0.2
City of Howardwick,City/Town,Donley,20515,4103,0.2
Duval County,County,Duval,216975,43395,0.2
City of Benavides,City/Town,Duval,68255,13651,0.2
City of Freer,City/Town,Duval,144485,28897,0.2
City of San Diego,City/Town,Duval,183920,46761,0.2542464114832536
Eastland County,County,Eastland,324280,64856,0.2
