state,industry,date,variable,pct,prev_date,prev_day,change,change_lbl,color
TX,Professional Services,2020-03-05,hours_worked,1.7,NA,NA,NA,,#FFD100
TX,Retail,2020-03-05,hours_worked,-1.8,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-05,hours_worked,-12.4,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-05,locations_open,-7.2,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-05,locations_open,0,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-05,locations_open,-2,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-05,locations_open,-3.6,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-05,locations_open,2.5,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-05,locations_open,-1.5,NA,NA,NA,,#FFD100
TX,Other,2020-03-05,locations_open,-3.2,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-05,locations_open,-4.2,NA,NA,NA,,#FFD100
TX,Retail,2020-03-05,locations_open,-2.1,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-05,locations_open,-4,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-05,employees_working,-9.2,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-05,employees_working,4.4,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-05,employees_working,0.5,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-05,employees_working,-0.4,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-05,employees_working,14.9,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-05,employees_working,0.8,NA,NA,NA,,#FFD100
TX,Other,2020-03-05,employees_working,1.4,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-05,employees_working,3,NA,NA,NA,,#FFD100
TX,Retail,2020-03-05,employees_working,-1.2,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-05,employees_working,-13.6,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-06,hours_worked,-14.9,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-06,hours_worked,2.4,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-06,hours_worked,3.1,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-06,hours_worked,-1.3,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-06,hours_worked,14.7,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-06,hours_worked,5.2,NA,NA,NA,,#FFD100
TX,Other,2020-03-06,hours_worked,4.9,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-06,hours_worked,5.7,NA,NA,NA,,#FFD100
TX,Retail,2020-03-06,hours_worked,-0.9,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-06,hours_worked,-11.8,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-06,locations_open,-11.7,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-06,locations_open,-0.6,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-06,locations_open,-1.4,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-06,locations_open,-4.3,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-06,locations_open,-1.2,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-06,locations_open,-4.7,NA,NA,NA,,#FFD100
TX,Other,2020-03-06,locations_open,-3.7,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-06,locations_open,-3.4,NA,NA,NA,,#FFD100
TX,Retail,2020-03-06,locations_open,-2.1,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-06,locations_open,-10.4,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-06,employees_working,-6.7,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-06,employees_working,0.6,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-06,employees_working,1.6,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-06,employees_working,-2.7,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-06,employees_working,9.5,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-06,employees_working,5.1,NA,NA,NA,,#FFD100
TX,Other,2020-03-06,employees_working,2,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-06,employees_working,4.2,NA,NA,NA,,#FFD100
TX,Retail,2020-03-06,employees_working,-1.8,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-06,employees_working,-19.3,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-07,hours_worked,-13.8,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-07,hours_worked,11.7,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-07,hours_worked,3.4,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-07,hours_worked,-2.7,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-07,hours_worked,-1.2,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-07,hours_worked,10.2,NA,NA,NA,,#FFD100
TX,Other,2020-03-07,hours_worked,10.1,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-07,hours_worked,14.2,NA,NA,NA,,#FFD100
TX,Retail,2020-03-07,hours_worked,1.2,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-07,hours_worked,-5.6,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-07,locations_open,-9.9,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-07,locations_open,3.4,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-07,locations_open,-1.5,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-07,locations_open,-3.1,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-07,locations_open,-2.3,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-07,locations_open,5.7,NA,NA,NA,,#FFD100
TX,Other,2020-03-07,locations_open,0.7,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-07,locations_open,12.3,NA,NA,NA,,#FFD100
TX,Retail,2020-03-07,locations_open,-3.4,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-07,locations_open,-1.3,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-07,employees_working,-12.3,NA,NA,NA,,#FFD100
TX,"Charities, Education & Membership",2020-03-07,employees_working,12.4,NA,NA,NA,,#FFD100
TX,Food & Drink,2020-03-07,employees_working,1,NA,NA,NA,,#FFD100
TX,Health Care and Fitness,2020-03-07,employees_working,-1.1,NA,NA,NA,,#FFD100
TX,Home and Repair,2020-03-07,employees_working,2.2,NA,NA,NA,,#FFD100
TX,Leisure and Entertainment,2020-03-07,employees_working,15.9,NA,NA,NA,,#FFD100
TX,Other,2020-03-07,employees_working,8.9,NA,NA,NA,,#FFD100
TX,Professional Services,2020-03-07,employees_working,25.4,NA,NA,NA,,#FFD100
TX,Retail,2020-03-07,employees_working,-0.2,NA,NA,NA,,#FFD100
TX,Transportation,2020-03-07,employees_working,-13.7,NA,NA,NA,,#FFD100
TX,Beauty & Personal Care,2020-03-08,hours_worked,-11,-14.5,2020-03-01,3.5,+,#66E8C6
TX,"Charities, Education & Membership",2020-03-08,hours_worked,-3.5,2.1,2020-03-01,-5.6,,#F26852
TX,Food & Drink,2020-03-08,hours_worked,2.8,1.2,2020-03-01,1.5999999999999999,+,#66E8C6
TX,Health Care and Fitness,2020-03-08,hours_worked,2.1,1.4,2020-03-01,0.7000000000000002,+,#66E8C6
TX,Home and Repair,2020-03-08,hours_worked,-6.5,-11.7,2020-03-01,5.199999999999999,+,#66E8C6
TX,Leisure and Entertainment,2020-03-08,hours_worked,15.5,15.6,2020-03-01,-0.09999999999999964,,#F26852
